name,name,info,img,douban,imdb,rt_tm,rt_ad,related_fb_post
好想做一次,好想做一次,"
                                　　經歷了創傷性的一年後，一個遭到無視的印度裔美國少女一心想要贏得大家的喜愛，但是她卻面臨朋友、家人和感情方面的重重問題。
                        ",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Never_Have_I_Ever_Title_Card.png/250px-Never_Have_I_Ever_Title_Card.png,7.8,7.8,97%,97%,[]
正妹CEO,正妹CEO,"
                                　　《女孩老闆》是講述叛逆﹑破產的無政府主義者Sophia（布麗特·羅伯森 飾），不願成長的她從一貧如洗到創業變富的故事。她靠在eBay上賣古著服飾起家，後來創立了Nasty Gal品牌，擁有總部在洛杉磯的時尚帝國，27歲成為百萬富翁。
                        ",https://upload.wikimedia.org/wikipedia/zh/thumb/5/52/Girlboss_logo_official.png/250px-Girlboss_logo_official.png,6.9,7.8,35%,35%,[]
馬男波傑克,馬男波傑克,"
                                　　本劇的世界設定是普通人類和擬人化的動物共同生活在一起，除了外形，這些動物跟人類沒什麼不同。馬男波傑克（威爾·阿奈特 Will Arnett 配音）就是一匹中年過氣明星馬，他年輕時主演的電視劇《胡鬧的小馬》風靡一時，而今他已是無人問津的過氣明星，與人類廢柴陶德（亞倫·保爾 Aaron Paul 配音）一同生活在LA的一所別墅裡。為了重整旗鼓，波傑克在經紀人兼前女友卡羅琳公主（艾米·塞德麗絲 Amy Sedaris 配音）催促下決定出版一部自傳，希望回到大眾視野裡。但是由於波傑克過分拖延遲遲不肯下筆，出版社介紹了一位槍手作者戴安（愛麗森·布里 Alison Brie 配音）給他。波傑克多番拒絕，終於，在一個派對上，他與戴安相遇了，卻發現她竟是自己的死對頭花生醬先生的女朋友。
                        ",https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/BoJack_Horseman_Logo.svg/250px-BoJack_Horseman_Logo.svg.png,9.2,8.7,71%,71%,[]
福是全家福的福,福是全家福的福,"
                                　　A lower middle class family living in the 1970s. Based on comedian Bill Burr's childhood.
                        ",None,8.7,8.0,85%,85%,[]
謀殺犯的形成,謀殺犯的形成,"
                                　　30年前，他被冤入獄..被關18年終於因為新的DNA證據被證無罪...結果剛提出3600萬賠償卻又再次成了血腥殺人案的唯一嫌疑人被判終身監禁...究竟是真的有罪還是警方栽贓陷害？ 紀錄片播出之後，已經有15萬人為他請願..雖然判決已經論定. 但是真相卻永遠沒人知道.
                        ",None,9.2,8.5,39%,39%,[]
外星人的日常,外星人的日常,"
                                　　本劇集將地球生物的規律應用到宇宙的其他地方，融合了科學事實和虛構故事來想象其他星球上的生命。
                        ",https://upload.wikimedia.org/wikipedia/zh/thumb/4/4d/Alien_Worlds_Poster.jpg/250px-Alien_Worlds_Poster.jpg,7.3,5.7,100%,100%,[]
羅素·彼得斯：繞著地球講,羅素·彼得斯：繞著地球講,Nothing,None,Nothing,5.7,Nothing,Nothing,[]
惡魔人 Crybaby,惡魔人 Crybaby,"
                                　　隨著惡魔覺醒，人類世界陷入混亂。性格溫柔的男孩與惡魔合體，在神祕好友飛鳥了的指引下，捲入一場殘酷、墮落的對抗邪惡之戰。
                        ",None,8.9,7.6,89%,89%,[]
B：彼之初,B：彼之初,"
                                　　本作講述的是這樣一個故事：回到王立警察特殊犯罪捜査課的天才搜查官基思（キース・フリック）追尋著某個事件的犯人。該犯人是專門獵殺凶惡犯罪者的連續殺人犯，通稱“Killer B”。在犯罪現場必然會刻下的“B”的文字引起了人們的注意和猜測。“B”其實是為了她的留言。“我在這裡……”即使是身體變成了異形，黑羽也繼續刻下無法傳遞的思念。基思和黑羽，兩個未曾相見的人的命運終於被一個同樣的陰謀卷在一起。
                        ",None,7.5,7.2,50%,50%,[]
A.I.C.O.：化身,A.I.C.O.：化身,"
                                　　“你……已經不再是人類了。”世界知名影片《交響詩篇艾蕾卡 7》及《我的英雄學院》的動畫製作公司 Bones 與《翠星上的加爾岡緹亞》和《鋼之鍊金術師：嘆息之丘的聖星》的導演村田和也，攜手呈獻原創生化科幻動作影集。 2035 年的日本，某個研究計畫發生了一場名為“大爆炸”的意外，失去控制的人工生命體“大麻煩”因而產生，佔據了整個黑部峽谷。曾被譽為人類希望的研究重鎮就此遭政府全面封鎖。兩年後，在“大爆炸”中失去家人的 15 歲少女橘愛子，從轉學生神崎雄哉得知令人難以置信的事實。她的體內隱藏著一個祕密，而一切謎題的解答就在“大爆炸”的中心地“原初點”。少年與少女相遇，人類的命運掌握在兩人手中，他們將揭曉什麼樣的嶄新真相？ Netflix 獨家，2018 年春季上線。
                        ",None,7.3,6.4,None,None,[]
LOST SONG,LOST SONG,"
                                　　在綠意盎然的邊境小村住著一個吃貨少女，她的名字叫做琳。而豪華的王都則有一個名叫菲妮斯的歌姬，孤獨地居住在王宮深處。她們兩人都擁有著特別的力量，那就是通過唱歌能夠引發包括治癒傷口、生出水源、起風等奇蹟般的現象，而命運卻將這兩人引導向一條殘酷的旅途.......
                        ",None,7.6,6.4,Nothing,Nothing,[]
衝吧烈子,衝吧烈子,"
                                　　衝吧烈子和凱蒂貓同屬三麗鷗公司創造，但她與凱蒂貓可愛的模樣大不同。
                                    
                                　　衝吧烈子的外形像一隻紅熊貓小姐，25歲，在東京一家貿易公司會計部上班。外形十分可愛，但生氣時——例如老闆要她加班或同事戲弄她──她就會變得和凱蒂貓完全相反。頭上會出現“烈”字，表達自己的怒氣。
                                    
                                　　衝吧烈子每天被塞滿工作，壓力大到只能到卡拉OK狂唱死亡搖滾樂舒壓、或是去喝啤酒，叫喊著“我會辭職！這不會是我的命運！”她的經歷對於上班族來說甚有共鳴，而平常可愛的影像也與爆發Death Metal模式的樣子有著強烈的反差。
                        ",None,9.1,8.0,100%,100%,[]
7SEEDS 幻海奇情,7SEEDS 幻海奇情,"
                                　　當他們驟然醒來，拯救人類的行動也隨之展開！
                                    
                                　　為了避免人類滅絕，一群少男少女被選入「7SEEDS計劃」，未知的命運卻等在前方。
                                    
                                　　Netflix 與日本動畫工作室 Gonzo 聯手合作，為您帶來這部發生在不久的將來的科幻動畫。
                                    
                                　　Netflix 原創動畫《7SEEDS 幻海奇情》將於 2019 年夏天上線，Netflix 獨家！
                        ",None,5.9,6.8,Nothing,Nothing,[]
古魯家族,古魯家族,"
                                    　　原始人咕嚕一家六口在老爸Grug（尼古拉斯·凱奇 Nicolas Cage 配音）的庇護下生活。每天搶奪鴕鳥蛋為食，躲避野獸的追擊，每晚聽老爸敘述同一個故事，在山洞裡過著一成不變的生活。大女兒Eep（艾瑪·斯通 Emma Stone 配音）是一個和老爸性格截然相反的充滿好奇心的女孩，她不滿足一輩子留在這個小山洞裡，一心想要追逐山洞外面的新奇世界。
                                        
                                    　　沒想到世界末日突然降臨，山洞被毀，一家人被迫離開家園，展開一場全新的旅程。離開了居住了“一輩子”的山洞，展現在他們眼前的是一個嶄新絢麗卻又充滿危險的新世界，到處都是食人的花草和叫不出名字的奇異鳥獸，一家人遇到了全所未有的危機。在旅途中，他們還遇到了遊牧部落族人Guy（瑞恩·雷諾茲 Ryan Reynolds 配音），他有著超凡的創造力和革新思想，幫助咕嚕一家躲過了重重困難，途中他還發明瞭很多“高科技”產品，...
                            ",https://upload.wikimedia.org/wikipedia/zh/thumb/7/72/The_Croods_poster.jpg/220px-The_Croods_poster.jpg,8.7,7.2,72%,72%,[]
聖戰士：傳說守護者,聖戰士：傳說守護者,Nothing,None,Nothing,Nothing,Nothing,Nothing,[]
黑鏡,黑鏡,"
                                    　　這部英國迷你劇由3個各自獨立的故事組成，彼此間並沒有直接聯繫，但都以極端的黑色幽默諷刺和探討了科技對人類生活產生的影響。
                                        
                                    　　《天佑吾主》：首相Michael Callow（羅裡·金奈爾 Rory Kinnear 飾）被熟睡中的緊急電話召回辦公室，得知廣受喜愛的王室 成員Susannah公主遭人劫持，綁匪提出的交換條件匪夷所思。備感受辱的首相諸般嘗試解救公主未果，最終在強大的社交網絡民意壓力下就範。
                                        
                                    　　《一千五百萬的價值》：在未來世界，衣著統一的人們只通過虛擬網絡交流，依靠日復一日騎自行車賺取賴以為生的消費點數。不甘做行屍走肉的Bing（丹尼爾·卡盧亞 Daniel Kaluuya 飾）傾盡自己所有點數幫助天籟般歌聲的Abi（傑西卡·布朗-芬德利 Jessica Brown-Findlay 飾）登上選秀舞臺，卻被Abi淪為豔星的事實深深打擊。
                                        
                                    　　《你的全部歷...
                            ",https://upload.wikimedia.org/wikipedia/zh/thumb/2/24/BlackMirrorTitleCard.jpg/250px-BlackMirrorTitleCard.jpg,9.4,8.8,84%,84%,[]
發展受阻,發展受阻,"
                                　　熱門美劇！一個大富之家因涉嫌經濟犯罪，所有資產被凍結。早已習慣錦衣玉食的一家人如何適應這天翻地覆的轉變呢？這部片的拍攝手法是使用紀錄片的手法,偶爾會對故事裡提到的事進行閃回。搞笑的是家族裡的人的各種古怪事和相互算計以及通過閃迴帶來的幽默。
                        ",https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Arrested_Development.svg/250px-Arrested_Development.svg.png,8.8,8.7,74%,74%,[]
馴龍高手,馴龍高手,"
                                　　維京島國的少年小嗝嗝（傑伊•巴魯切爾 Jay Baruchel 配音）是部落統領偉大的斯托裡克（傑拉德·巴特勒 Gerard Butler 配音）的兒子，他非常想像自己的父親一樣親手屠龍——這些飛龍是島上維京人放牧羊群的主要天敵——但他每次出現在部落屠龍的戰鬥中都只給大家徒增煩惱。在一次對抗飛龍的戰鬥中，希卡普偷偷用射龍器擊傷了一隻最神祕的“夜之怒龍”，並揹著族人放生、豢養，甚至馴服了這隻龍，還給它起名“無牙”。希卡普的神祕行徑引起了一同訓練屠龍技巧的女孩阿斯特麗德（亞美莉卡·費雷拉 America Ferrera 配音）的懷疑。阿斯特麗德發現了希卡普的祕密，卻同時被身騎“無牙”御風而飛的美妙體驗所震撼。格雷決定在屠龍成人禮上向遠征歸來的斯托裡克和族人講明真相，說服大家放棄屠龍，卻偏偏弄巧成拙，害得“無牙”被俘，一場更大的災難就在眼前……
                        ",https://upload.wikimedia.org/wikipedia/zh/thumb/9/9e/How_to_train_Your_Dragon_poster.jpg/220px-How_to_train_Your_Dragon_poster.jpg,8.7,8.1,99%,99%,[]
西鎮警魂,西鎮警魂,"
                                　　Longmire事實上是我們主人公的姓氏。Walt Longmire喪偶1年，將內心和精神上的傷痛用冷酷的面孔和高深的睿智封存。妻子死後，在他女兒Cady的敦促下，Longmire知道，是時候轉身面對生活向前看了。在一位新來的女長官Vic的幫助下，他重新為自己的工作注入了活力。而當一位年輕、有野心的年輕人Branch要和他爭奪警長的職位時，Longmire覺得自己被背叛，但他依舊不變地為整個社區的治安奉獻自己的力量。
                                    
                                　　本片由John Coveny和Hunt Baldwin根據Craig Johnson的暢銷系類小說《Longmire Mystery》改編而成。
                        ",https://upload.wikimedia.org/wikipedia/zh/thumb/8/82/Longmire_season1_poster.jpg/250px-Longmire_season1_poster.jpg,8.2,Nothing,86%,86%,[]
吉爾莫女孩：一年剪影,吉爾莫女孩：一年剪影,"
                                　　Netflix近日正式宣佈重啟經典美劇《吉爾莫女孩》，卡司勞倫·格拉漢姆、阿麗克西斯·布萊德爾、斯科特·帕特森、凱利·畢曉普、肖恩·岡和安慶名惠子以及主創都將回歸。
                        ",None,8.1,7.6,87%,87%,[]
星際大戰：複製人之戰,星際大戰：複製人之戰,"
                                　　銀河共和國的克隆軍隊與分裂聯盟的機器人軍隊交戰正炙，尤達大師派極地學徒亞蘇卡•譚諾作為阿納金的學徒加入克里斯多菲斯星戰鬥。杜庫伯爵設計綁架了塔圖因星賈霸的幼子，絕地長老院為了獲得銀河星系外圍的通路權，戰鬥結束後派阿納金，亞蘇卡和機器人R2帶領克隆軍隊前去拯救人質，而歐比-旺•肯諾比則去塔圖因星賈霸處商討聯盟事宜。阿納金一行在泰斯星一處寺院遭遇分裂聯盟的機器人軍隊及西斯武士阿薩基•文翠斯，儘管救回賈霸幼子，卻沒料到更大的陰謀正等待著他們。
                                    
                                　　本片是唯一一部電腦動畫“星戰”電影，也是“星戰”系列中唯一一部由華納公司發行的電影。
                        ",None,7.8,Nothing,Nothing,Nothing,[]
自由之韁,自由之韁,"
                                　　After befriending a mysterious horse during a summer in the English countryside, 15-year-old Zoe finds the strength to deal with issues she faces.
                        ",None,,7.2,Nothing,Nothing,[]
格林豪斯學院,格林豪斯學院,Nothing,None,Nothing,Nothing,76%,76%,[]
毒梟：墨西哥,毒梟：墨西哥,"
                                　　《毒梟》在經過三季於哥倫比亞的反毒戰爭後將告一段落。Netflix將原來的第四季獨立出來作為衍生劇《毒梟：墨西哥篇》（Narcos: Mexico）。
                                    
                                　　本作將聚焦於反毒戰爭的起源 – 墨西哥的瓜達拉哈拉販毒集團，時間也將移前至80年代，講述冷靜﹑大膽﹑頭腦清晰﹑忠於 親友的Felix Gallardo（Diego Luna飾）如何把散亂的販毒者統一起來，成為被稱為「Godfather」的大毒梟。
                                    
                                　　而緝毒局探員Kiki Camarena（Michael Pena飾）帶著妻兒從加州搬到瓜達拉哈拉，但他沒意料到此反毒戰的危險程度，並引發了慘劇。在《毒梟》第一季中曾提到，Kiki被販毒集團抓獲後，死前曾被剝了兩腿的皮﹑對著手腳開槍﹑用電鑽鑽頭等。不過他的死也令緝毒局開始對毒梟窮追猛打。
                        ",None,9.1,8.4,Nothing,Nothing,[]
黑秩序,黑秩序,"
                                　　該劇主要講述大學新生傑克·莫頓加入了一個神祕的社團，隨後接觸到一系列在現代社會不該不存在的東西——魔法、怪物，當他了解的越來越多，竟揭開了自己家族的黑暗祕密，並捲入狼人和黑魔法綿延久遠的戰爭...
                        ",None,5.5,Nothing,78%,78%,[]
黑暗夏日,黑暗夏日,"
                                　　《黑夏》圍繞災難事件的倖存者們展開，為了到達一個軍事疏散點，他們與殭屍展開激烈廝殺，甚至不惜彼此對抗。傑米·金飾演一位與女兒分離的母親，她踏上痛苦掙扎的旅程，欲不惜一切代價找回女兒。她與一小群美國難民同行，必須勇敢面對充滿敵意的新世界，並在這場發生在夏天的致命殭屍末日中做出殘酷決定。卡爾·謝弗和約翰·海姆斯擔任創劇人、監製和聯合劇集主管。
                        ",None,6.4,6.6,78%,78%,[]
新社會,新社會,"
                                    　　Chris Keyser執筆﹑Marc Webb執導的Netflix新劇集定命為《新社會 The Society》，這部劇被形容為《迷失 Lost》與《蒼蠅王 Lord of the Flies》的混合體，講述一群少年自一次短途旅行後，回到城鎮時發現其他人都失蹤了，而且主角們還變得無法離開此地。
                                        
                                    　　Kathryn Newton飾演的女主角Allie，其餘演員包括Rachel Keller﹑Gideon Adlon﹑Jacques Colimon﹑Olivia DeJonge﹑Alex Fitzalan﹑Kristine Froseth﹑Jose Julian﹑Natasha Liu Bordizzo﹑Alex MacNicoll﹑Jack Mulhern﹑Salena Qureshi﹑Grace Victoria Cox﹑Sean Berdy及Toby...
                            ",None,6.7,Nothing,86%,86%,[]
如/果,如/果,"
                                    　　英國老牌男生寄讀學校。新學年開始了，低年級學生米克·特拉維斯（馬爾科姆·麥克道威爾 Malcolm McDowell飾）和他的一群年輕朋友們整日心神不寧、無所事事。兩位死黨約翰尼（大衛·伍德 David Wood飾）和華萊士（理查德·沃裡克 Richard Warwick飾）跟米克一起喝酒聊天，打發空虛而壓抑的生活。一日，在觀看橄欖球比賽後，米克與約翰尼偷偷溜出學校去咖啡館和女招待調情嬉笑。此事讓二人受到校方嚴厲的處罰。米克等人懷恨在心，決心報復學校的粗暴與野蠻。然而校方對米克等人進行了更加暴力的侮辱與虐待，米克等人與校方的關係愈發緊張。米克領導著低年級學生反抗著高年級學生的壓制與欺辱，更竭力對抗著來自校方的獨斷專橫和非人的壓迫。
                                        
                                    　　由英國自由電影主將之一林賽·安德森執導的影片《如果》，根據戴維·舍文和約翰·霍雷特的電影劇本《反叛者》改編而成。影片拍攝...
                            ",None,8.1,6.3,94%,94%,[]
小偷小搶,小偷小搶,Nothing,None,Nothing,7.1,60%,60%,[]
異星空間,異星空間,"
                                　　一件神祕的外星文物在地球登陸後，尼可·佈雷肯裡奇指揮官（凱蒂·薩克沃夫飾）必須帶領人類首次的星際任務，抵達其發源星球，同時她的丈夫（賈斯汀·查特文飾）則留守地球並努力與該文物進行首次接觸。 《外星生命》探索生命的奇蹟，刻劃在一個幾乎毫無生命存在的宇宙，生命是如何寶貴，也描繪為了保護所愛，我們會如何竭心盡力。
                        ",None,5.3,5.2,Nothing,Nothing,[]
五行刺客,五行刺客,"
                                　　故事講述了當代舊金山唐人街的年輕廚師金凱（伊科·烏艾斯飾）捲入三合會對致命的古老中國神祕力量“五行”的追逐。阿凱無意間擁有了神祕力量，被迫成為了五行刺客，他必須利用自己高超的武功，從五個想要毀滅世界的現代罪犯手中奪回超能力。
                        ",None,5.0,6.4,Nothing,Nothing,[]
魔水晶：抗爭時代,魔水晶：抗爭時代,"
                                　　該劇是1982年《夜魔水晶》電影的前傳，共10集，探索Thra世界。電影主要講述數千年前夜魔水晶破裂，創造了兩個種族：可怕的Skeksis——他們利用夜魔水晶剩下的力量來維持自己的生命；一群善良、溫和的巫師Mystics。殘忍的Skeksis致力於永垂不朽，Gelfling種族最後兩個倖存者Jen和Kira必須帶著水晶最後剩餘的碎片踏上一段冒險之旅，修復水晶，避免毀滅他們世界的天災發生。劇集將講述三個年輕的Gelflings人發現了一個可怕的祕密，激發了一場反抗殘暴皇帝的起義。
                        ",None,8.4,8.4,75%,75%,[]
超能迪昂,超能迪昂,"
                                　　《家有超能迪翁》講述了一位名叫妮科爾（阿莉莎·溫賴特飾）的女人在丈夫馬克（邁克爾·B·喬丹飾）去世後，獨自撫養兒子迪翁（新人演員賈賽亞·揚飾）的故事。當迪翁開始表現出一些如同超級英雄般的神祕超能力時，單親母親撫養兒子的普通生活也變得不再那麼單調。現在，妮科爾必須在馬克生前好友帕特（傑森·雷特飾）的幫助下保守兒子具有超能力的保密，保護迪翁不被敵人利用，同時還要搞清兒子超能力的來源。
                        ",None,5.6,Nothing,Nothing,Nothing,[]
桃莉·巴頓：撥動心弦,桃莉·巴頓：撥動心弦,"
                                　　你鍾愛的多莉的歌曲，你期待已久的故事。《多莉·帕頓： 心絃之聲》是一部選集劇集，展示了她最受喜愛的歌曲背後的故事、記憶和靈感。每一集都以多莉的新曲和經典之作為配樂。從愛情故事、勵志故事到家庭劇、西部片和復仇題材喜劇片，每個故事都有不同的基調。
                        ",None,,Nothing,Nothing,Nothing,[]
維琴河,維琴河,"
                                　　改編自Robyn Carr小說的《維琴河 Virgin River》講述女主Melinda Monroe（Alexandra Breckenridge飾）來到加州偏遠小鎮維琴河當護士，她認為這處是開展新生活﹑丟下痛苦回憶的好地方。不過她發現小鎮生活沒其預料般簡單，如果Melinda真心希望以維琴河為家，她得自己振作起來。《維琴河》原著是多達20本的系列作，被列入Harpercollins 200大書榜中。
                        ",None,7.4,Nothing,99%,99%,[]
陌生人 ,陌生人 ,"
                                　　故事根據哈蘭·科本同名小說改編，講述亞當·普萊斯(理查德·阿米蒂奇飾)擁有完美的生活，有兩個兒子和幸福的婚姻。直到一個夜晚在一家酒吧，一個陌生人告訴他一個關於他妻子的祕密，亞當的生活便進入一片混亂。
                        ",None,7.2,7.3,Nothing,Nothing,"[683127422701827, 685627345785168, 686366319044604, 687779072236662]"
特務女王,特務女王,"
                                　　在母親被暗殺後，奎恩·索諾成長為一名出色而與眾不同的間諜，盡心盡力保護非洲人民。在一次危險的實地任務中，奎恩無意中發現了母親死亡的驚人細節，於是開始了自己的真相尋找之路。
                        ",None,6.6,Nothing,Nothing,Nothing,[]
國王的信使,國王的信使,"
                                　　年輕的Thiuri即將成為真正的武士，他的最後一項考驗就是獨自關在一處小禮拜堂之中一整夜，不能說話、也不能打開任何一道門。但一個男人的出現打亂了一切，他要Thiuri幫他送一封國王的信，而身受致命重傷的收信人又請求Thiuri代他將這封重要的信送出去，一場歷險即將展開，Thiuri能及時將信送達嗎？而那封信裡的內容究竟是？
                        ",None,6.5,Nothing,Nothing,Nothing,[]
外灘探秘,外灘探秘,"
                                　　劇中講述在北卡羅萊納州的外灘群島，一群來自貧民區﹑關係緊密的青少年團體「Pogues」想找到領頭人的失蹤父親，而過程中他們找到隱藏著長久祕密的藏寶圖。
                        ",None,7.3,Nothing,78%,78%,[]
好萊塢 ,好萊塢 ,"
                                    　　瑞恩·墨菲和伊恩·佈雷南的最新限定劇《好萊塢》以二戰後的好萊塢為背景，講述了一群頗有抱負的演員和電影製作人不惜一切代價，努力在好萊塢取得成功的故事。每一個角色都提供了一個獨特的視角，讓我們得以窺見好萊塢黃金時代的鍍金帷幕背後的世界，揭示了至今仍存在的種族、性別和性取向方面的不公平制度和偏見。《好萊塢》富有啟發性和敏銳性，揭示並研究了數十年的權力變遷，以及如果廢除後娛樂行業會是怎樣一番景象。
                                        
                                    　　《好萊塢》由戴維·科倫斯韋特飾演傑克、達倫·克里斯飾演雷蒙德、傑里米·波普飾演阿奇、勞拉·哈里爾飾演卡米爾、薩瑪拉·維文飾演克萊爾、迪倫·麥克德莫特飾演厄尼、霍蘭德·泰勒飾演埃倫·金凱德、帕蒂·盧波恩飾演阿維絲、吉姆·帕森斯飾演亨利·威爾森、傑克·皮克金飾演洛克·哈德森、喬·曼特羅飾演迪克、茉德·阿帕圖飾演荷莉葉特。該劇由聯合創劇人瑞恩·墨菲和伊恩·佈雷南以及亞歷...
                            ",None,7.8,7.5,Nothing,Nothing,[]
巴黎爵士,巴黎爵士,"
                                　　該劇聚焦巴黎一個衰敗中的爵士樂俱樂部，它的老闆、樂隊和所處混亂的城市。霍蘭德飾來自紐約的知名爵士鋼琴家Elliot Udo，是這傢俱樂部的老闆之一，與頭牌歌手有斷斷續續的戀情，而如今的他情感受挫，躲著每一個人，但當他15歲的女兒突然出現，Elliot必須直面問題和弱點，成長起來。
                        ",None,7.2,Nothing,87%,87%,[]
布朗克斯：街頭少年音樂夢,布朗克斯：街頭少年音樂夢,"
                                　　威爾·史密斯之子賈登·史密斯加盟音樂劇集《The Get Down》。劇情講述一群生活在紐約市南布朗克斯郡青少年，關於街舞和街頭文化的故事，小史密斯將飾演馬庫斯·吉卜林，一名才華橫溢的塗鴉畫家。這部劇集由巴茲·魯曼執導，索尼影視和Netflix聯合制片，預計明年亮相Netflix。
                        ",None,9.3,Nothing,Nothing,Nothing,[]
越界 ,越界 ,"
                                　　夏宇豪（範少勳 飾）是一個非常調皮和活潑的高中男生，一場意外之後，他連同死黨王振文（楊孟霖 飾）和其義兄王振武（施柏宇 飾）一起轉學來到了一所新的高中裡。某日，夏宇豪逃課翻牆的英姿被排球隊長賀承恩（謝毅宏 飾）和球隊經理邱子軒（盧彥澤 飾）給撞了個正著，何承恩從夏宇豪敏捷的身手中看到了無限的潛力，於是熱情的邀請他加入排球隊。
                                    
                                　　就這樣，夏宇豪成為了排球隊中的一員，王振文和王振武兩人也緊隨其後。隨著時間的推移，夏宇豪和邱子軒之間的距離迅速拉近，與此同時，文武兩兄弟之間的感情線也越發清晰起來。
                        ",None,8.4,8.3,Nothing,Nothing,[]
無神之境,無神之境,"
                                　　背景設定在19世紀80年代的美國西部地區，不法之徒Frank Griffin(丹尼爾斯飾)展開對他的前隊友、後變為敵人的Roy Goode(奧康奈爾飾)的追捕行動。Roy隱藏在一座牧場之中，Frank的追捕引導他來到新墨西哥州的神祕小鎮La Belle——全部居民均為女性。
                        ",None,8.8,8.3,83%,83%,[]
七秒交關,七秒交關,"
                                    　　Netflix直接預訂Veena Sud負責編劇﹑Gavin O’Connor執導的詩選劇《七秒 Seven Seconds》，定於美國時間2月23日上線，首季10集的《七秒》用了美國時下熱門題材，講述在澤西市因為一個黑人少年受到警察的嚴重傷害而死，因而黑人市民與白人警察 關係十分緊張。
                                        
                                    　　Clare-Hope Ashitey飾演K.J. Harper，新澤西州的助理檢察官，接手了這次事件。Michael Mosley飾演綽號”Fish”的Joe Rinaldi，一個經驗豐富的新澤西警探，被指派跟檢察官KJ Harper合作。
                                        
                                    　　David Lyons飾演Mike Diangelo，大男人主義者的他奉獻了生活給新澤西警察，是他那小型緝毒部隊的實際領導者；Beau Knapp飾演部隊的菜鳥Peter Jablonski，他渴望取悅隊長/父親榜樣似的Mike...
                            ",None,7.7,7.7,78%,78%,[]
無辜戀人,無辜戀人,"
                                　　Netflix宣佈為英劇《無辜戀人 The Innocents》招員，這部8集劇由Hania Elkington及Simon Duric主創﹑Farren Blackburn執導，這部「超自然+愛情」定位的少年向劇集講述Harry及June（Sorcha Grounds ell及Percelle Ascott飾）是對戀人，從壓抑的家庭逃家後，他們踏上找尋自我的旅程；不過隨著劇情發展，他們父母保守的祕密使這段感情受到考驗，同時間有股強大力量可能讓他們永遠分開。
                        ",None,5.3,Nothing,100%,100%,[]
暗影追緝,暗影追緝,"
                                    　　Colonel Branson (Thomas Gibson), head of a secret and covert division of the NSA, keeps the Shadow Wolves operating albeit now independent and rogue. His anger after his daughter was killed in Afghanistan training civilians drives him to defend ""his"" America and her borders by all means legal or otherwise. When ISIS terrorists begin to sneak across the US Border into Arizona, B...
                            ",None,,8.7,Nothing,Nothing,[]
別人眼中的我們,別人眼中的我們,"
                                    　　《有色眼鏡》改編自曾在全美引起轟動的真實故事。本片講述了一起臭名昭著的冤案：五名有著“中央公園五人幫”之稱的青少年被錯判為強姦罪。 這部四集的限定劇將聚焦哈萊姆區的五名青少年，即安特羅尼 ·麥克雷、 凱文·理查德森、尤瑟夫·薩拉姆、雷蒙德·桑塔納和科裡·懷斯。故事始於 1989 年春天，當時這些青少年第一次因此強姦事件而被問詢。整個故事將跨越 25 年，高潮部分為 2002 年他們最終無罪釋放，並於 2014 年與紐約市達成和解協議。
                                        
                                    　　《有色眼鏡》由艾娃·德約列打造，她也是這部四集劇的聯合編劇和導演。Participant Media 的傑夫·斯科爾和喬納森·金、Harpo Films 的奧普拉·溫弗瑞、Tribeca Productions 的簡·羅森塔爾、貝里·韋爾什和羅伯特·德尼羅將與德約列一起在她的 Forward Movement 旗下擔任...
                            ",None,8.9,8.9,Nothing,Nothing,[]
I 島,I 島,"
                                　　凱特·波茨沃斯(《超人歸來》)、娜塔麗·馬丁內茲(《交叉世界》《祕密與謊言》)、亞歷克斯·帕蒂弗(《關鍵第4號》《貓王與尼克松》)將主演Netflix新劇《The I-Land》，Neil LaBute(《範海辛》《異教徒》)擔任運作人、導演，並與Lucy Teitler(《黑客軍團》)編寫劇本。
                                    
                                　　講述10個人在一座危險的小島醒來，對於自己是誰和如何到這裡的沒有任何記憶，他們嘗試回家的過程中發現這個世界並不是所想像的那樣，他們將面對極其艱苦的心理和身體上的挑戰。
                        ",None,5.3,4.6,Nothing,Nothing,[]
愛情原聲帶,愛情原聲帶,"
                                　　每個人都有屬於自己的愛情原聲帶。《愛情原聲帶》是一部浪漫的音樂劇，講述了生活在當代洛杉磯的一群形形色色的人如何因愛情故事而產生交集，並通過音樂展現了他們的內心世界。
                        ",None,6.5,6.5,94%,94%,[]
